sample	purity
TCGA-02-0047-01	0.754159462260853
TCGA-02-0055-01	0.591377450256165
TCGA-02-2483-01	0.812589951000678
TCGA-02-2485-01	0.907352424213071
TCGA-02-2486-01	0.715172653068193
TCGA-04-1331-01	0.927309718241579
TCGA-04-1332-01	0.690326229971217
TCGA-04-1338-01	0.765199270071529
TCGA-04-1341-01	0.89233680761352
TCGA-04-1343-01	0.751319743630141
TCGA-04-1347-01	0.963748076943876
TCGA-04-1350-01	0.994432389316812
TCGA-04-1356-01	0.834033373322977
TCGA-04-1357-01	0.625184256822329
TCGA-04-1361-01	0.800212458965214
TCGA-04-1362-01	0.912263950723204
TCGA-04-1364-01	0.949997933066935
TCGA-04-1365-01	0.862837150627591
TCGA-04-1514-01	0.964499546443738
TCGA-04-1519-01	0.991433862691394
TCGA-04-1530-01	0.631318285111441
TCGA-04-1536-01	0.853665060280459
TCGA-04-1542-01	0.964978396505791
TCGA-04-1648-01	0.88170227456539
TCGA-04-1651-01	0.952293791960236
TCGA-04-1655-01	0.969416965333739
TCGA-05-4244-01	0.639886717219308
TCGA-05-4249-01	0.640640839937236
TCGA-05-4250-01	0.625679886662787
TCGA-05-4382-01	0.406083297965288
TCGA-05-4384-01	0.654557122534519
TCGA-05-4389-01	0.632569912761044
TCGA-05-4390-01	0.712898432684144
TCGA-05-4395-01	0.733376594367224
TCGA-05-4396-01	0.875482319979311
TCGA-05-4397-01	0.878307069034825
TCGA-05-4398-01	0.521552871996941
TCGA-05-4402-01	0.612726321896663
TCGA-05-4403-01	0.605168714042888
TCGA-05-4405-01	0.551515098246257
TCGA-05-4410-01	0.50229415802713
TCGA-05-4415-01	0.803585897319543
TCGA-05-4417-01	0.500617849566878
TCGA-05-4418-01	0.666381383629891
TCGA-05-4420-01	0.751498330708302
TCGA-05-4422-01	0.716575606215136
TCGA-05-4424-01	0.483134709638034
TCGA-05-4425-01	0.646705533600627
TCGA-05-4426-01	0.784287912402445
TCGA-05-4427-01	0.637974295514104
TCGA-05-4430-01	0.42808686773166
TCGA-05-4432-01	0.591659926066795
TCGA-05-4433-01	0.697967748730669
TCGA-05-4434-01	0.5464183442534
TCGA-05-5420-01	0.395986379159493
TCGA-05-5423-01	0.646375119084519
TCGA-05-5425-01	0.706862133138054
TCGA-05-5428-01	0.713295645453501
TCGA-05-5429-01	0.861713652308212
TCGA-05-5715-01	0.739917971316105
TCGA-06-0125-01	0.925019391770985
TCGA-06-0125-02	0.727284183451862
TCGA-06-0129-01	0.818003133302764
TCGA-06-0130-01	0.399839318481201
TCGA-06-0132-01	0.48424558396723
TCGA-06-0141-01	0.444387665035094
TCGA-06-0152-02	0.777529868222817
TCGA-06-0157-01	0.842496525758726
TCGA-06-0158-01	0.829367909100581
TCGA-06-0168-01	0.71820387323097
TCGA-06-0171-02	0.348189428431879
TCGA-06-0174-01	0.950431876152682
TCGA-06-0184-01	0.68125168549762
TCGA-06-0187-01	0.853003942615934
TCGA-06-0190-01	0.64842349277011
TCGA-06-0190-02	0.558589844468478
TCGA-06-0210-01	0.631332675537834
TCGA-06-0210-02	0.644842619647515
TCGA-06-0211-01	0.895245242904875
TCGA-06-0211-02	0.735773186884375
TCGA-06-0219-01	0.757048731573315
TCGA-06-0221-02	0.89850030254312
TCGA-06-0238-01	0.813786206654878
TCGA-06-0644-01	0.604803618383255
TCGA-06-0645-01	0.654374388313291
TCGA-06-0646-01	0.826677596009873
TCGA-06-0649-01	0.688545812369045
TCGA-06-0686-01	0.883581472445043
TCGA-06-0743-01	0.876867424740897
TCGA-06-0744-01	0.916096364654797
TCGA-06-0745-01	0.831168344977869
TCGA-06-0747-01	0.943451862647542
TCGA-06-0749-01	0.702322245686665
TCGA-06-0750-01	0.756969222534833
TCGA-06-0878-01	0.789341387323648
