barcode	disease	Site.Primary	Histology	Hist.Subtype1	tcga.tumor	CCLE.name
WM983B	SKCM	skin	malignant_melanoma	NS	SKCM	WM983B_SKIN
HMCB	SKCM	skin	malignant_melanoma	NS	yes	HMCB_SKIN
HUTU80	STAD	small_intestine	carcinoma	adenocarcinoma	other	HUTU80_SMALL_INTESTINE
G401	OTHER	soft_tissue	rhabdoid_tumour	NS	soft tissue other	G401_SOFT_TISSUE
G402	OTHER	soft_tissue	rhabdoid_tumour	NS	soft tissue other	G402_SOFT_TISSUE
A204	SARC	soft_tissue	rhabdoid_tumour	NS	rhabdomyosarcoma	A204_SOFT_TISSUE
HS729	SARC	soft_tissue	rhabdomyosarcoma	NS	rhabdomyosarcoma	HS729_SOFT_TISSUE
KYM1	SARC	soft_tissue	rhabdomyosarcoma	NS	rhabdomyosarcoma	KYM1_SOFT_TISSUE
RD	SARC	soft_tissue	rhabdomyosarcoma	embryonal	rhabdomyosarcoma	RD_SOFT_TISSUE
RH18	SARC	soft_tissue	rhabdomyosarcoma	alveolar	rhabdomyosarcoma	RH18_SOFT_TISSUE
RH30	SARC	soft_tissue	rhabdomyosarcoma	alveolar	rhabdomyosarcoma	RH30_SOFT_TISSUE
RH41	SARC	soft_tissue	rhabdomyosarcoma	alveolar	rhabdomyosarcoma	RH41_SOFT_TISSUE
TE125T	SARC	soft_tissue	rhabdomyosarcoma	NS	rhabdomyosarcoma	TE125T_SOFT_TISSUE
TE159T	SARC	soft_tissue	rhabdomyosarcoma	NS	rhabdomyosarcoma	TE159T_SOFT_TISSUE
TE441T	SARC	soft_tissue	rhabdomyosarcoma	NS	rhabdomyosarcoma	TE441T_SOFT_TISSUE
TE617T	SARC	soft_tissue	rhabdomyosarcoma	NS	rhabdomyosarcoma	TE617T_SOFT_TISSUE
GCT	SARC	soft_tissue	malignant_fibrous_histiocytoma-pleomorphic_sarcoma	NS	soft tissue other	GCT_SOFT_TISSUE
HT1080	SARC	soft_tissue	fibrosarcoma	NS	soft tissue other	HT1080_SOFT_TISSUE
MESSA	SARC	soft_tissue	sarcoma	NS	soft tissue other	MESSA_SOFT_TISSUE
RKN	SARC	soft_tissue	leiomyosarcoma	NS	soft tissue other	RKN_SOFT_TISSUE
SKLMS1	SARC	soft_tissue	sarcoma	NS	soft tissue other	SKLMS1_SOFT_TISSUE
SKUT1	SARC	soft_tissue	leiomyosarcoma	NS	soft tissue other	SKUT1_SOFT_TISSUE
S117	SARC	soft_tissue	sarcoma	NS	soft tissue other	S117_SOFT_TISSUE
2313287	STAD	stomach	carcinoma	adenocarcinoma	STAD	2313287_STOMACH
AGS	STAD	stomach	carcinoma	adenocarcinoma	STAD	AGS_STOMACH
GCIY	STAD	stomach	carcinoma	adenocarcinoma	STAD	GCIY_STOMACH
GSS	STAD	stomach	carcinoma	adenocarcinoma	STAD	GSS_STOMACH
GSU	STAD	stomach	carcinoma	adenocarcinoma	STAD	GSU_STOMACH
KATOIII	STAD	stomach	carcinoma	adenocarcinoma	STAD	KATOIII_STOMACH
LMSU	STAD	stomach	carcinoma	adenocarcinoma	STAD	LMSU_STOMACH
NUGC2	STAD	stomach	carcinoma	adenocarcinoma	STAD	NUGC2_STOMACH
ECC10	STAD	stomach	carcinoma	small_cell_adenocarcinoma	stomach carcinoma	ECC10_STOMACH
ECC12	STAD	stomach	carcinoma	small_cell_adenocarcinoma	stomach carcinoma	ECC12_STOMACH
FU97	STAD	stomach	carcinoma	diffuse_adenocarcinoma	stomach carcinoma	FU97_STOMACH
HS746T	STAD	stomach	carcinoma	NS	stomach carcinoma	HS746T_STOMACH
HUG1N	STAD	stomach	carcinoma	NS	stomach carcinoma	HUG1N_STOMACH
IM95	STAD	stomach	carcinoma	intestinal_adenocarcinoma	stomach carcinoma	IM95_STOMACH
KE39	STAD	stomach	carcinoma	NS	stomach carcinoma	KE39_STOMACH
MKN1	STAD	stomach	carcinoma	mixed_adenosquamous_carcinoma	stomach carcinoma	MKN1_STOMACH
MKN45	STAD	stomach	carcinoma	diffuse_adenocarcinoma	stomach carcinoma	MKN45_STOMACH
MKN7	STAD	stomach	carcinoma	tubular_adenocarcinoma	stomach carcinoma	MKN7_STOMACH
MKN74	STAD	stomach	carcinoma	tubular_adenocarcinoma	stomach carcinoma	MKN74_STOMACH
NCCSTCK140	STAD	stomach	carcinoma	NS	stomach carcinoma	NCCSTCK140_STOMACH
NCIN87	STAD	stomach	carcinoma	NS	stomach carcinoma	NCIN87_STOMACH
NUGC3	STAD	stomach	carcinoma	NS	stomach carcinoma	NUGC3_STOMACH
NUGC4	STAD	stomach	carcinoma	signet_ring_adenocarcinoma	stomach carcinoma	NUGC4_STOMACH
OCUM1	STAD	stomach	carcinoma	diffuse_adenocarcinoma	stomach carcinoma	OCUM1_STOMACH
RERFGC1B	STAD	stomach	carcinoma	NS	stomach carcinoma	RERFGC1B_STOMACH
SH10TC	STAD	stomach	carcinoma	NS	stomach carcinoma	SH10TC_STOMACH
SNU216	STAD	stomach	carcinoma	NS	stomach carcinoma	SNU216_STOMACH
SNU520	STAD	stomach	carcinoma	NS	stomach carcinoma	SNU520_STOMACH
SNU601	STAD	stomach	carcinoma	NS	stomach carcinoma	SNU601_STOMACH
SNU620	STAD	stomach	carcinoma	NS	stomach carcinoma	SNU620_STOMACH
SNU668	STAD	stomach	carcinoma	signet_ring_adenocarcinoma	stomach carcinoma	SNU668_STOMACH
SNU719	STAD	stomach	carcinoma	NS	stomach carcinoma	SNU719_STOMACH
TGBC11TKB	STAD	stomach	carcinoma	NS	stomach carcinoma	TGBC11TKB_STOMACH
HGC27	STAD	stomach	carcinoma	undifferentiated_adenocarcinoma	stomach undifferentiated adenocarcinoma	HGC27_STOMACH
SNU1	STAD	stomach	carcinoma	undifferentiated_adenocarcinoma	stomach undifferentiated adenocarcinoma	SNU1_STOMACH
SNU16	STAD	stomach	carcinoma	undifferentiated_adenocarcinoma	stomach undifferentiated adenocarcinoma	SNU16_STOMACH
SNU5	STAD	stomach	carcinoma	undifferentiated_adenocarcinoma	stomach undifferentiated adenocarcinoma	SNU5_STOMACH
8305C	THCA	thyroid	carcinoma	anaplastic_carcinoma	THCA	8305C_THYROID
8505C	THCA	thyroid	carcinoma	anaplastic_carcinoma	THCA	8505C_THYROID
BCPAP	THCA	thyroid	carcinoma	papillary_carcinoma	THCA	BCPAP_THYROID
BHT101	THCA	thyroid	carcinoma	anaplastic_carcinoma	THCA	BHT101_THYROID
CAL62	THCA	thyroid	carcinoma	anaplastic_carcinoma	THCA	CAL62_THYROID
FTC133	THCA	thyroid	carcinoma	follicular_carcinoma	THCA	FTC133_THYROID
FTC238	THCA	thyroid	carcinoma	follicular_carcinoma	THCA	FTC238_THYROID
ML1	THCA	thyroid	carcinoma	follicular_carcinoma	THCA	ML1_THYROID
SW579	THCA	thyroid	carcinoma	anaplastic_carcinoma	THCA	SW579_THYROID
TT	THCA	thyroid	carcinoma	medullary_carcinoma	THCA	TT_THYROID
TT2609C02	THCA	thyroid	carcinoma	follicular_carcinoma	THCA	TT2609C02_THYROID
HS840T	HNSC	upper_aerodigestive_tract	other	papilloma	other	HS840T_UPPER_AERODIGESTIVE_TRACT
SNU1041	HNSC	upper_aerodigestive_tract	carcinoma	NS	other	SNU1041_UPPER_AERODIGESTIVE_TRACT
BHY	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	BHY_UPPER_AERODIGESTIVE_TRACT
BICR16	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	BICR16_UPPER_AERODIGESTIVE_TRACT
BICR18	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	BICR18_UPPER_AERODIGESTIVE_TRACT
BICR22	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	BICR22_UPPER_AERODIGESTIVE_TRACT
BICR31	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	BICR31_UPPER_AERODIGESTIVE_TRACT
BICR56	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	BICR56_UPPER_AERODIGESTIVE_TRACT
BICR6	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	BICR6_UPPER_AERODIGESTIVE_TRACT
CAL27	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	CAL27_UPPER_AERODIGESTIVE_TRACT
CAL33	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	CAL33_UPPER_AERODIGESTIVE_TRACT
FADU	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	FADU_UPPER_AERODIGESTIVE_TRACT
HSC2	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	HSC2_UPPER_AERODIGESTIVE_TRACT
HSC3	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	HSC3_UPPER_AERODIGESTIVE_TRACT
HSC4	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	HSC4_UPPER_AERODIGESTIVE_TRACT
PECAPJ15	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	PECAPJ15_UPPER_AERODIGESTIVE_TRACT
PECAPJ49	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	PECAPJ49_UPPER_AERODIGESTIVE_TRACT
SCC15	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	SCC15_UPPER_AERODIGESTIVE_TRACT
SCC25	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	SCC25_UPPER_AERODIGESTIVE_TRACT
SCC4	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	SCC4_UPPER_AERODIGESTIVE_TRACT
SCC9	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	SCC9_UPPER_AERODIGESTIVE_TRACT
SNU1066	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	SNU1066_UPPER_AERODIGESTIVE_TRACT
SNU1076	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	SNU1076_UPPER_AERODIGESTIVE_TRACT
SNU1214	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	SNU1214_UPPER_AERODIGESTIVE_TRACT
SNU899	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	SNU899_UPPER_AERODIGESTIVE_TRACT
YD10B	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	YD10B_UPPER_AERODIGESTIVE_TRACT
YD38	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	YD38_UPPER_AERODIGESTIVE_TRACT
YD8	HNSC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	upper aerodigestive tract squamous cell carcinoma	YD8_UPPER_AERODIGESTIVE_TRACT
DETROIT562	OTHER	upper_aerodigestive_tract	carcinoma	NS	other	DETROIT562_UPPER_AERODIGESTIVE_TRACT
253J	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	253J_URINARY_TRACT
253JBV	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	253JBV_URINARY_TRACT
5637	BLCA	urinary_tract	carcinoma	NS	BLCA	5637_URINARY_TRACT
639V	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	639V_URINARY_TRACT
647V	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	647V_URINARY_TRACT
BC3C	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	BC3C_URINARY_TRACT
BFTC905	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	BFTC905_URINARY_TRACT
CAL29	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	CAL29_URINARY_TRACT
HS172T	BLCA	urinary_tract	carcinoma	NS	BLCA	HS172T_URINARY_TRACT
HT1197	BLCA	urinary_tract	carcinoma	NS	BLCA	HT1197_URINARY_TRACT
HT1376	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	HT1376_URINARY_TRACT
J82	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	J82_URINARY_TRACT
JMSU1	BLCA	urinary_tract	carcinoma	NS	BLCA	JMSU1_URINARY_TRACT
KMBC2	BLCA	urinary_tract	carcinoma	NS	BLCA	KMBC2_URINARY_TRACT
KU1919	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	KU1919_URINARY_TRACT
RT112	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	RT112_URINARY_TRACT
RT4	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	RT4_URINARY_TRACT
SCABER	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	SCABER_URINARY_TRACT
SW1710	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	SW1710_URINARY_TRACT
SW780	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	SW780_URINARY_TRACT
T24	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	T24_URINARY_TRACT
TCCSUP	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	TCCSUP_URINARY_TRACT
UBLC1	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	UBLC1_URINARY_TRACT
UMUC1	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	UMUC1_URINARY_TRACT
UMUC3	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	UMUC3_URINARY_TRACT
VMCUB1	BLCA	urinary_tract	carcinoma	transitional_cell_carcinoma	BLCA	VMCUB1_URINARY_TRACT
